start_station_name,Avg_ride_length,Avg_ride_length_Casual,Avg_ride_length_Member,Casual_riders,Member_riders,Electric_bike_riders,Classic_bike_riders,Total_riders
Public Rack - Karlov Ave & Milwaukee Ave,10.760897435897437,6.6744444444444442,16.333333333333332,15,11,26,0,26
Public Rack - Western & 83rd,23.346153846153843,8.7222222222222214,25.253623188405797,3,23,26,0,26
Public Rack - Parkside & Archer,8.3044871794871788,7.93095238095238,8.7402777777777771,14,12,26,0,26
Public Rack - Bishop St & 46th St,18.61474358974359,31.611111111111107,16.919565217391309,3,23,26,0,26
Public Rack - Melvina & Foster,13.798666666666666,18.057142857142857,8.3787878787878789,14,11,25,0,25
Public Rack - Komensky Ave & 59th St,5.2186666666666666,5.4462962962962962,5.0906250000000011,9,16,25,0,25
Sacramento Blvd & Polk St,14.786666666666667,15.520833333333334,13.481481481481483,16,9,25,0,25
Racine Ave & 57th St,14.9,16.82549019607843,10.808333333333334,17,8,17,8,25
Rhodes Ave & 71st St,17.88133333333333,18.102777777777774,17.676923076923078,12,13,17,8,25
Major Taylor Trail & 124th St,59.939333333333337,64.099206349206327,38.1,21,4,3,22,25
Public Rack - Lotus Ave & Lawrence Ave,8.9125,4.1428571428571432,10.876470588235295,7,17,24,0,24
Public Rack - Prairie Ave & Garfield Blvd N,9.1076388888888875,10.75,7.166666666666667,13,11,24,0,24
Public Rack - Avondale Ave & Addison St,8.3645833333333339,7.8513888888888888,8.8777777777777764,12,12,24,0,24
Public Rack - Milwaukee Ave & Leland Ave,12.295138888888889,11.666666666666666,12.672222222222222,9,15,24,0,24
Mango Ave & North Ave,31.386111111111109,31.74848484848485,27.4,22,2,14,10,24
Panama Ave & Grace St,17.5036231884058,19.4,4.8611111111111116,20,3,23,0,23
Lavergne & Fullerton,16.492028985507243,15.298333333333334,17.410256410256409,10,13,23,0,23
Public Rack - Milwaukee Ave & Pensacola Ave,3.6282608695652177,4.29537037037037,1.2266666666666666,18,5,23,0,23
Orange Ave & Addison St,13.839130434782609,15.101041666666664,10.954761904761906,16,7,10,13,23
Public Rack - Spaulding Ave & Bryn Mawr Ave,7.8630434782608685,7.53,8.11923076923077,10,13,23,0,23
Carpenter St & 63rd St,27.545652173913041,26.246078431372553,31.227777777777778,17,6,12,11,23
Homan Ave & Fillmore St,11.248550724637681,9.7966666666666651,13.970833333333333,15,8,23,0,23
Public Rack - Cicero Ave & Roscoe St,10.283333333333335,8.89375,11.024444444444445,8,15,23,0,23
Public Rack - Christiana & Lincoln,12.480434782608695,13.254166666666666,12.067777777777776,8,15,23,0,23
Public Rack - Milwaukee Ave & Addison St,15.315217391304348,12.8,18.584999999999997,13,10,23,0,23
Kildare Ave & 85th St,27.089130434782604,26.206060606060603,46.516666666666666,22,1,0,23,23
Public Rack - 63rd Pl & Narraganssett Ave,12.486956521739129,12.486956521739129,,23,0,23,0,23
